Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Block_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2019-20,19,West Bengal,1916,HOWRAH,191611,SHYAMPUR-II,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3
2019-20,19,West Bengal,1916,HOWRAH,191612,PANCHLA,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3
2019-20,19,West Bengal,1916,HOWRAH,191613,SANKRAIL,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4
2019-20,19,West Bengal,1916,HOWRAH,191614,DOMJUR,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,9,11,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,31,33
2019-20,19,West Bengal,1916,HOWRAH,191615,HOWRAH MUNICIPAL CORPORATION,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,6,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,8
2019-20,19,West Bengal,1916,HOWRAH,191616,BALLY MUNICIPALITY,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,19,West Bengal,1916,HOWRAH,191617,ULUBERIA MUNICIPALITY,1,Department of Education,1,PS (I-V),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3
2019-20,19,West Bengal,1916,HOWRAH,191601,AMTA-I,1,Department of Education,1,PS (I-V),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191602,AMTA-II,1,Department of Education,1,PS (I-V),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191604,BAGNAN-II,1,Department of Education,1,PS (I-V),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191605,BALLY- JAGACHA,1,Department of Education,1,PS (I-V),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191609,JAGATBALLAVPUR,1,Department of Education,1,PS (I-V),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,19,West Bengal,1916,HOWRAH,191610,SHYAMPUR-I,1,Department of Education,1,PS (I-V),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,19,West Bengal,1916,HOWRAH,191612,PANCHLA,1,Department of Education,1,PS (I-V),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191614,DOMJUR,1,Department of Education,1,PS (I-V),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,19,West Bengal,1916,HOWRAH,191615,HOWRAH MUNICIPAL CORPORATION,1,Department of Education,1,PS (I-V),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191604,BAGNAN-II,1,Department of Education,1,PS (I-V),2,Secondary,3,B.Ed. or equivalent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191612,PANCHLA,1,Department of Education,1,PS (I-V),2,Secondary,3,B.Ed. or equivalent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191615,HOWRAH MUNICIPAL CORPORATION,1,Department of Education,1,PS (I-V),2,Secondary,3,B.Ed. or equivalent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191604,BAGNAN-II,1,Department of Education,1,PS (I-V),2,Secondary,4,M.Ed. or equivalent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191601,AMTA-I,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4
2019-20,19,West Bengal,1916,HOWRAH,191602,AMTA-II,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,8
2019-20,19,West Bengal,1916,HOWRAH,191603,BAGNAN-I,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2019-20,19,West Bengal,1916,HOWRAH,191604,BAGNAN-II,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
2019-20,19,West Bengal,1916,HOWRAH,191606,ULUBERIA-I,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,7
2019-20,19,West Bengal,1916,HOWRAH,191607,ULUBERIA-II,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2019-20,19,West Bengal,1916,HOWRAH,191609,JAGATBALLAVPUR,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
2019-20,19,West Bengal,1916,HOWRAH,191610,SHYAMPUR-I,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,5
2019-20,19,West Bengal,1916,HOWRAH,191611,SHYAMPUR-II,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
2019-20,19,West Bengal,1916,HOWRAH,191612,PANCHLA,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2
2019-20,19,West Bengal,1916,HOWRAH,191613,SANKRAIL,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3
2019-20,19,West Bengal,1916,HOWRAH,191614,DOMJUR,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,19,West Bengal,1916,HOWRAH,191615,HOWRAH MUNICIPAL CORPORATION,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,19,West Bengal,1916,HOWRAH,191617,ULUBERIA MUNICIPALITY,1,Department of Education,1,PS (I-V),2,Secondary,5,Others,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2019-20,19,West Bengal,1916,HOWRAH,191601,AMTA-I,1,Department of Education,1,PS (I-V),2,Secondary,6,None,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1
2019-20,19,West Bengal,1916,HOWRAH,191602,AMTA-II,1,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191604,BAGNAN-II,1,Department of Education,1,PS (I-V),2,Secondary,6,None,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,19,West Bengal,1916,HOWRAH,191605,BALLY- JAGACHA,1,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,19,West Bengal,1916,HOWRAH,191606,ULUBERIA-I,1,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,19,West Bengal,1916,HOWRAH,191607,ULUBERIA-II,1,Department of Education,1,PS (I-V),2,Secondary,6,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191610,SHYAMPUR-I,1,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2019-20,19,West Bengal,1916,HOWRAH,191612,PANCHLA,1,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191613,SANKRAIL,1,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
2019-20,19,West Bengal,1916,HOWRAH,191614,DOMJUR,1,Department of Education,1,PS (I-V),2,Secondary,6,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191615,HOWRAH MUNICIPAL CORPORATION,1,Department of Education,1,PS (I-V),2,Secondary,6,None,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2019-20,19,West Bengal,1916,HOWRAH,191616,BALLY MUNICIPALITY,1,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191617,ULUBERIA MUNICIPALITY,1,Department of Education,1,PS (I-V),2,Secondary,6,None,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1
2019-20,19,West Bengal,1916,HOWRAH,191601,AMTA-I,1,Department of Education,1,PS (I-V),2,Secondary,7,Diploma/degree in special education,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191601,AMTA-I,1,Department of Education,1,PS (I-V),2,Secondary,8,Pursuing any relevant professional course,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
2019-20,19,West Bengal,1916,HOWRAH,191602,AMTA-II,1,Department of Education,1,PS (I-V),2,Secondary,8,Pursuing any relevant professional course,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,19,West Bengal,1916,HOWRAH,191604,BAGNAN-II,1,Department of Education,1,PS (I-V),2,Secondary,8,Pursuing any relevant professional course,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191605,BALLY- JAGACHA,1,Department of Education,1,PS (I-V),2,Secondary,8,Pursuing any relevant professional course,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191609,JAGATBALLAVPUR,1,Department of Education,1,PS (I-V),2,Secondary,8,Pursuing any relevant professional course,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191610,SHYAMPUR-I,1,Department of Education,1,PS (I-V),2,Secondary,8,Pursuing any relevant professional course,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2019-20,19,West Bengal,1916,HOWRAH,191611,SHYAMPUR-II,1,Department of Education,1,PS (I-V),2,Secondary,8,Pursuing any relevant professional course,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,19,West Bengal,1916,HOWRAH,191612,PANCHLA,1,Department of Education,1,PS (I-V),2,Secondary,8,Pursuing any relevant professional course,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,19,West Bengal,1916,HOWRAH,191613,SANKRAIL,1,Department of Education,1,PS (I-V),2,Secondary,8,Pursuing any relevant professional course,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191615,HOWRAH MUNICIPAL CORPORATION,1,Department of Education,1,PS (I-V),2,Secondary,8,Pursuing any relevant professional course,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191601,AMTA-I,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,4,0,59,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,63,37
2019-20,19,West Bengal,1916,HOWRAH,191602,AMTA-II,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,1,106,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,106,25
2019-20,19,West Bengal,1916,HOWRAH,191603,BAGNAN-I,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,93,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,93,57
2019-20,19,West Bengal,1916,HOWRAH,191604,BAGNAN-II,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,25,9,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,41,20
2019-20,19,West Bengal,1916,HOWRAH,191605,BALLY- JAGACHA,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,1,0,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,28,9
2019-20,19,West Bengal,1916,HOWRAH,191606,ULUBERIA-I,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,5,5,78,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,83,32
2019-20,19,West Bengal,1916,HOWRAH,191607,ULUBERIA-II,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,57,20,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,60,22
2019-20,19,West Bengal,1916,HOWRAH,191608,UDAYNARAYANPUR,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,138,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,138,44
2019-20,19,West Bengal,1916,HOWRAH,191609,JAGATBALLAVPUR,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,15,6,78,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,93,23
2019-20,19,West Bengal,1916,HOWRAH,191610,SHYAMPUR-I,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,1,0,85,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,86,30
2019-20,19,West Bengal,1916,HOWRAH,191611,SHYAMPUR-II,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,25,5,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,36,10
2019-20,19,West Bengal,1916,HOWRAH,191612,PANCHLA,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,1,0,99,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,30
2019-20,19,West Bengal,1916,HOWRAH,191613,SANKRAIL,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,87,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,87,39
2019-20,19,West Bengal,1916,HOWRAH,191614,DOMJUR,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,56,27,56,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,112,51
2019-20,19,West Bengal,1916,HOWRAH,191615,HOWRAH MUNICIPAL CORPORATION,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,57,20,122,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,179,87
2019-20,19,West Bengal,1916,HOWRAH,191616,BALLY MUNICIPALITY,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,47,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,47,16
2019-20,19,West Bengal,1916,HOWRAH,191617,ULUBERIA MUNICIPALITY,1,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,32,17,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,58,33
2019-20,19,West Bengal,1916,HOWRAH,191601,AMTA-I,1,Department of Education,1,PS (I-V),3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2019-20,19,West Bengal,1916,HOWRAH,191603,BAGNAN-I,1,Department of Education,1,PS (I-V),3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,19,West Bengal,1916,HOWRAH,191604,BAGNAN-II,1,Department of Education,1,PS (I-V),3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,19,West Bengal,1916,HOWRAH,191605,BALLY- JAGACHA,1,Department of Education,1,PS (I-V),3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
2019-20,19,West Bengal,1916,HOWRAH,191606,ULUBERIA-I,1,Department of Education,1,PS (I-V),3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191607,ULUBERIA-II,1,Department of Education,1,PS (I-V),3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,19,West Bengal,1916,HOWRAH,191609,JAGATBALLAVPUR,1,Department of Education,1,PS (I-V),3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2019-20,19,West Bengal,1916,HOWRAH,191610,SHYAMPUR-I,1,Department of Education,1,PS (I-V),3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2
2019-20,19,West Bengal,1916,HOWRAH,191612,PANCHLA,1,Department of Education,1,PS (I-V),3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
